"contribution_id","debate_date","debate_title","debate_id","paragraphs","primary_info","secondary_info"
"08031193000192","1205193600","EuropeanUnion(Amendment)Bill",2,"I beg to move, That the Bill be now read the Third time.  On Third Reading, it is traditional to recognise the contribution of all sides to the debate on the Bill, and happily, in this case, I have a lot of material to draw on. Since I introduced the Bill on Second Reading nine weeks ago, six Secretaries of State and shadow Secretaries of State have spoken to the House. The scrutiny process in Committee has totalled some 560,000 words—five and a half times the length of the consolidated treaty itself. I hope that the House will allow me to highlight a small number of outstanding contributors to our—","David Miliband","Labour"
"08031193000194","1205193600","EuropeanUnion(Amendment)Bill",2,"Will the Foreign Secretary give way? [Laughter.]","Mr Ian Davidson","Labour (Co-op)"
"08031193000195","1205193600","EuropeanUnion(Amendment)Bill",2,"indicated assent.","David Miliband","Labour"
"08031193000196","1205193600","EuropeanUnion(Amendment)Bill",2,"Will the Foreign Secretary tell me the difference between the Liberals’ full participation in debate and their policy of constructive abstention, as they seem to amount to pretty much the same thing?","Mr Ian Davidson","Labour (Co-op)"
"08031193000198","1205193600","EuropeanUnion(Amendment)Bill",2,"Talking of outstanding contributors, I see that my hon. Friend could not resist the temptation to intervene, but I am sure that the quality of the remarks of the hon. Member for Kingston and Surbiton (Mr. Davey) will make up for the lack of quantity—","David Miliband","Labour"
"08031193000199","1205193600","EuropeanUnion(Amendment)Bill",2,"No.","Mr Ian Davidson","Labour (Co-op)"
"08031193000200","1205193600","EuropeanUnion(Amendment)Bill",2,"Maybe my hon. Friend is not convinced.  I want to pay tribute to some of the hon. Members who have genuinely contributed outstandingly to our proceedings. I start by paying tribute to the right hon. Member for Richmond, Yorks (Mr. Hague). I believe his approach to Europe to be utterly antediluvian, but he has prosecuted his case in an absolutely brilliant fashion and re-established his reputation as one of the outstanding debaters of our times.  The hon. Member for Stone (Mr. Cash) has demonstrated again his long-standing commitment to these issues, tabling 154 amendments and making 209 interventions in our proceedings—[Interruption.]—so far. That is not an invitation for him to intervene now. He has been indefatigable in asserting, first, that he has been consistent every year since 1992, which is correct, and, secondly, that he has always been right in warning that the European superstate is about to gobble us up, about which I believe he is profoundly wrong. He and I rarely see eye to eye on these matters, but he has been active on every day of our scrutiny of the treaty and the Bill, and I pay tribute to his persistence.","David Miliband","Labour"
"08031193000203","1205193600","EuropeanUnion(Amendment)Bill",2,"Will the Foreign Secretary give way?","Ian C. Lucas","Labour"
"08031193000204","1205193600","EuropeanUnion(Amendment)Bill",2,"I was about to come to my hon. Friend, but I am happy to give way.","David Miliband","Labour"
"08031193000205","1205193600","EuropeanUnion(Amendment)Bill",2,"I was simply going to ask the Foreign Secretary whether he agrees that one of the most enlightening parts of the debate is that the hon. Member for Stone (Mr. Cash) clearly leads for the Conservative party on these matters?","Ian C. Lucas","Labour"
"08031193000206","1205193600","EuropeanUnion(Amendment)Bill",2,"In the spirit of good cheer, I do not want to insult the shadow Foreign Secretary, but I assure my hon. Friend that I will deal with the striking similarities between the hon. Member for Stone and Conservative Front Benchers in due course.  My right hon. Friend the Member for Leicester, West (Ms Hewitt) and my hon. Friend the Member for Wolverhampton, South-West (Rob Marris) have shown the value of reading the treaty, and they made a series of telling speeches and interventions. My hon. Friend the Member for Ilford, South (Mike Gapes), who chairs the Foreign Affairs Committee, and my hon. Friend the Member for Linlithgow and East Falkirk (Michael Connarty), who chairs the European Scrutiny Committee—they are both in their places, as they have been throughout our proceedings—have informed our debates with their genuine expertise.  I hope that the House will allow me to mention my hon. Friend the Minister for Europe, who has shown a wider audience what many of us always knew—namely, that he has patience and humour as well as keen intelligence and deep political skills. My only fear is that he may have talked himself out of the Foreign Office before he gets to go abroad and meet some foreigners. I hope that I am wrong.  Last week, we debated how to pass the treaty into law. Today, we are debating whether to do so. The central question is whether it is a good treaty for the UK and for Europe. The Government and every mainstream political party in Europe believe that the answer is yes, because the reforms make sense. The treaty reforms the foundations of the EU, which have developed since 1958, and the reforms will allow us to move on to the agenda of prosperity, development and climate change, which we all agree is the essence of the EU’s role.","David Miliband","Labour"
"08031193000211","1205193600","EuropeanUnion(Amendment)Bill",2,"We debated that at length last week. The House gave its answer by a majority of 63 on that question.","David Miliband","Labour"
"08031193000212","1205193600","EuropeanUnion(Amendment)Bill",2,"Part of the mandate derives from the fact that there have been 44 Divisions so far on the Bill and the average majority has been 170, which is rather different from what happened when the Maastricht treaty was considered. We have had a two thirds majority on nearly every Division.","Chris Bryant","Labour"
"08031193000213","1205193600","EuropeanUnion(Amendment)Bill",2,"My hon. Friend has regularly contributed to the debate, and he makes a good point.  We set out our arguments in favour of the treaty in Committee, but let me summarise them in three main points. First, the treaty creates clear, coherent objectives for EU activity in Europe and globally. We share those objectives and have played a leading role in shaping them.  Secondly, the Lisbon treaty streamlines the institutions and decision-making processes of the EU, so that it can better deliver on the matters that we all agree should be handled at European level.  Thirdly, it makes the EU more accountable to member states and national Parliaments.  I have set out many times the treaty’s contents, from bigger voting weight for the UK to opt-ins on justice and home affairs. Today, I want to make another attempt to convince the Conservative party that it cannot say that it wants a Europe that delivers on open markets, climate change, development, counter-terrorism and post-conflict reconstruction, and at the same time not only oppose the Bill but say that it is the end of Britain as we know it.","David Miliband","Labour"
"08031193000218","1205193600","EuropeanUnion(Amendment)Bill",2,"Will my right hon. Friend confirm again that, if the treaty is carried and ratified by Europe, we will not have a European constitution? Some people still do not get that.","Geraldine Smith","Labour"
"08031193000219","1205193600","EuropeanUnion(Amendment)Bill",2,"My hon. Friend makes an important point, as she did in her speech last week. We are considering an amending treaty, which amends, for the fifth time, the institutions of the EU to make the EU work better.","David Miliband","Labour"
"08031193000220","1205193600","EuropeanUnion(Amendment)Bill",2,"The Foreign Secretary repeats that the treaty will streamline, improve and achieve wonderful things. However, the EU has failed to deliver the Lisbon agenda on competitiveness; its accounts have not been signed off for the past 13 years; and we cannot automatically deport foreign criminals, because of the free movement of people. There are legion problems that the treaty does not tackle; on the contrary, it will make them worse.","Sir Bernard Jenkin","Conservative"
"08031193000221","1205193600","EuropeanUnion(Amendment)Bill",2,"The hon. Gentleman makes a good case for getting on with reforming the EU’s institutions. He also makes the case for tackling the genuine problems of delivery in the EU.","David Miliband","Labour"
"08031193000222","1205193600","EuropeanUnion(Amendment)Bill",2,"The Foreign Secretary has mentioned opt-ins on justice and home affairs. The three major issues are the opt-ins on justice and home affairs, the yellow and orange cards and the operation of the passerelle clauses, if the Government should ever move from veto to qualified majority voting. Will my right hon. Friend indicate the framework in which those arrangements will be discussed and determined by the Government in this House before he finishes his speech?","Michael Connarty","Labour"
"08031193000223","1205193600","EuropeanUnion(Amendment)Bill",2,"I will certainly address those three issues. The Government face a challenge, because in the end it is for Parliament to decide its own procedures. There is a balance to be struck between how much the Government want to dictate and how much Parliament should decide.","David Miliband","Labour"
"08031193000224","1205193600","EuropeanUnion(Amendment)Bill",2,"Will the Foreign Secretary give way?","Sir William Cash","Conservative"
"08031193000225","1205193600","EuropeanUnion(Amendment)Bill",2,"Let me make some progress. I shall be happy to return to the hon. Gentleman later.  Let me start with the single market. Hon. Members on both sides of the House want to see an effective and open market. The right hon. Member for Richmond, Yorks has made much of the alleged deletion of the reference to undistorted competition from the list of EU activities. In doing so, he has ignored the new, binding protocol on competition, which confirms that the  “internal market…includes a system ensuring that competition is not distorted”.  He has ignored, too, all the other continuing treaty references to competition, including articles 4, 27, 34, 87 to 89, 96, 98, 105 and 137 in the EC treaty, and the fact that the treaty’s powers on competition remain as strong as ever. He has also ignored the views of the Law Society, the head of the Commission legal service and other distinguished experts that the legal position remains unchanged. In the words of the Law Society:  “A Protocol records that the EU’s internal market includes a system which ensures that competition is undistorted. This does not change the current legal position”.  The Opposition say that they want the single market to work better, and the Lisbon treaty will further that agenda. It will provide a new legal base for the creation of a single EU patent, so that UK companies can have one patent, rather than 27 separate ones, to protect their ideas and inventions across Europe. The treaty will enable the creation of a European research area—a single market in knowledge to make it easier for researchers to take their talents to other countries. The treaty will also allow easier recognition across Europe of professional qualifications, so that professionals can work more freely across borders.","David Miliband","Labour"
"08031193000229","1205193600","EuropeanUnion(Amendment)Bill",2,"The Foreign Secretary just said that we need the treaty because it will enable us to make further reforms. At the same time, however, I am sure that he will acknowledge that we cannot achieve those reforms if, as my reasoned amendment, which has not been selected, points out, the Bill does not protect our Parliament’s enactments from being struck down by the European Court of Justice and the UK courts. That is what inhibits reform.","Sir William Cash","Conservative"
"08031193000230","1205193600","EuropeanUnion(Amendment)Bill",2,"I will come to that point directly, because it is important. A similar amendment tabled by the hon. Gentleman was selected last week. It challenged the basis of UK participation in the European Union since 1973, which is that on matters of European competence, European law should have primacy. To argue otherwise is to argue that we should be able to join a club, but not abide by the rules. I will show him in this debate that, contrary to the allegation that we have been led into a European project that no one ever warned about, there was absolute clarity all the way through the debates in the 1970s, from Geoffrey Rippon to Geoffrey Howe, whom I shall quote later, and other former hon. Members—","David Miliband","Labour"
"08031193000231","1205193600","EuropeanUnion(Amendment)Bill",2,"It is not surprising!","Sir William Cash","Conservative"
"08031193000232","1205193600","EuropeanUnion(Amendment)Bill",2,"The hon. Gentleman may say that, but they were members of a Conservative Government articulating Conservative Government policy at the time, so the point does not redound to his benefit.","David Miliband","Labour"
"08031193000233","1205193600","EuropeanUnion(Amendment)Bill",2,"Does the Foreign Secretary understand the unease felt by some Labour Members about the further threat of health services being liberalised? What additional protections are there to ensure that the very basis of the national health service will not be undermined by matters being referred to the ECJ?","Dr David Drew","Labour (Co-op)"
"08031193000234","1205193600","EuropeanUnion(Amendment)Bill",2,"I will address the division of competences across the EU, but I assure my hon. Friend not only that nothing in the treaty would allow interference in our national health service, but that it strengthens the UK’s position in deciding on our health provision.","David Miliband","Labour"
